ect  Escherichia coli O7:K1 IAI39 (ExPEC)
eum  Escherichia coli O17:K52:H18 UMN026 (ExPEC)
ecz  Escherichia coli O45:K1:H7 S88 (ExPEC)
ecl  Escherichia coli C ATCC 8739
ebr  Escherichia coli B REL606
ebd  Escherichia coli BL21-Gold(DE3)pLysS AG
eko  Escherichia coli KO11FL
efe  Escherichia fergusonii
sty  Salmonella enterica subsp. enterica serovar Typhi CT18
stt  Salmonella enterica subsp. enterica serovar Typhi Ty2
sex  Salmonella enterica subsp. enterica serovar Typhi P-stx-12
stm  Salmonella enterica subsp. enterica serovar Typhimurium LT2
seo  Salmonella enterica subsp. enterica serovar Typhimurium 14028S
sev  Salmonella enterica subsp. enterica serovar Typhimurium D23580
sey  Salmonella enterica subsp. enterica serovar Typhimurium SL1344
sem  Salmonella enterica subsp. enterica serovar Typhimurium T000240
sej  Salmonella enterica subsp. enterica serovar Typhimurium UK-1
seb  Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
spt  Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
sek  Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
spq  Salmonella enterica subsp. enterica serovar Paratyphi B
sei  Salmonella enterica subsp. enterica serovar Paratyphi C
sec  Salmonella enterica subsp. enterica serovar Choleraesuis
seh  Salmonella enterica subsp. enterica serovar Heidelberg
see  Salmonella enterica subsp. enterica serovar Newport
sew  Salmonella enterica subsp. enterica serovar Schwarzengrund
sea  Salmonella enterica subsp. enterica serovar Agona
sed  Salmonella enterica subsp. enterica serovar Dublin
seg  Salmonella enterica subsp. enterica serovar Gallinarum 287/91
sel  Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
set  Salmonella enterica subsp. enterica serovar Enteritidis
ses  Salmonella enterica subsp. arizonae
sbg  Salmonella bongori
ype  Yersinia pestis CO92 (biovar Orientalis)
ypk  Yersinia pestis KIM 10 (biovar Mediaevalis)
ypa  Yersinia pestis Antiqua (biovar Antiqua)
ypn  Yersinia pestis Nepal516 (biovar Antiqua)
ypm  Yersinia pestis 91001 (biovar Microtus)
ypp  Yersinia pestis Pestoides F
ypg  Yersinia pestis Angola
ypz  Yersinia pestis Z176003
yps  Yersinia pseudotuberculosis IP32953 (serotype I)
ypi  Yersinia pseudotuberculosis IP31758 (serotype O:1b)
ypy  Yersinia pseudotuberculosis YPIII
ypb  Yersinia pseudotuberculosis PB1/+
yen  Yersinia enterocolitica subsp. enterocolitica 8081
yep  Yersinia enterocolitica subsp. palearctica 105.5R(r)
sfl  Shigella flexneri 301 (serotype 2a)
sfx  Shigella flexneri 2457T (serotype 2a)
sfv  Shigella flexneri 8401 (serotype 5b)
ssn  Shigella sonnei
sbo  Shigella boydii Sb227
sbc  Shigella boydii CDC 3083-94
sdy  Shigella dysenteriae
eca  Pectobacterium atrosepticum
pct  Pectobacterium carotovorum
pwa  Pectobacterium wasabiae
eta  Erwinia tasmaniensis
epy  Erwinia pyrifoliae
eam  Erwinia amylovora CFBP1430
eay  Erwinia amylovora ATCC 49946
ebi  Erwinia billingiae
plu  Photorhabdus luminescens
pay  Photorhabdus asymbiotica
buc  Buchnera aphidicola APS
bas  Buchnera aphidicola Sg
bab  Buchnera aphidicola Bp
bcc  Buchnera aphidicola Cc
bap  Buchnera aphidicola 5A
bau  Buchnera aphidicola Tuc7
baj  Buchnera aphidicola (Cinara tujafilina)
wbr  Wigglesworthia glossinidia brevipalpis
wgl  Wigglesworthia glossinidia morsitans
sgl  Sodalis glossinidius
ent  Enterobacter sp. 638
enc  Enterobacter cloacae subsp. cloacae ATCC 13047
esc  Enterobacter cloacae SCF1
eec  Enterobacter cloacae EcWSU1
eas  Enterobacter asburiae
eae  Enterobacter aerogenes
esa  Cronobacter sakazakii
ctu  Cronobacter turicensis
kpn  Klebsiella pneumoniae subsp. pneumoniae MGH 78578
kpu  Klebsiella pneumoniae NTUH-K2044
kpm  Klebsiella pneumoniae subsp. pneumoniae HS11286
kpe  Klebsiella pneumoniae 342
kva  Klebsiella variicola
kox  Klebsiella oxytoca
cko  Citrobacter koseri ATCC BAA-895
cro  Citrobacter rodentium
spe  Serratia proteamaculans
srs  Serratia sp. AS12
srr  Serratia sp. AS9
ssz  Serratia symbiotica
pmr  Proteus mirabilis
eic  Edwardsiella ictaluri
etr  Edwardsiella tarda
bfl  Candidatus Blochmannia floridanus
bpn  Candidatus Blochmannia pennsylvanicus
bva  Candidatus Blochmannia vafer
hde  Candidatus Hamiltonella defensa
dda  Dickeya dadantii Ech703
ddc  Dickeya dadantii Ech586
ddd  Dickeya dadantii 3937
dze  Dickeya zeae
xbo  Xenorhabdus bovienii
xne  Xenorhabdus nematophila
pam  Pantoea ananatis LMG 20103
plf  Pantoea ananatis LMG 5342
pva  Pantoea vagans
pao  Pantoea sp. At-9b
rip  Candidatus Riesia pediculicola
rah  Rahnella sp. Y9602
men  Candidatus Moranella endobia
hin  Haemophilus influenzae Rd KW20 (serotype d)
hit  Haemophilus influenzae 86-028NP (nontypeable)
hip  Haemophilus influenzae PittEE
hiq  Haemophilus influenzae PittGG
hif  Haemophilus influenzae F3031
hil  Haemophilus influenzae F3047
hiu  Haemophilus influenzae 10810
hdu  Haemophilus ducreyi
hap  Haemophilus parasuis
hpr  Haemophilus parainfluenzae
hso  Haemophilus somnus 129PT
hsm  Haemophilus somnus 2336
pmu  Pasteurella multocida subsp. multocida Pm70
pmp  Pasteurella multocida 36950
msu  Mannheimia succiniciproducens
apl  Actinobacillus pleuropneumoniae L20 (serotype 5b)
apj  Actinobacillus pleuropneumoniae JL03 (serotype 3)
apa  Actinobacillus pleuropneumoniae AP76 (serotype 7)
asu  Actinobacillus succinogenes
aap  Aggregatibacter aphrophilus
aat  Aggregatibacter actinomycetemcomitans D11S-1
aao  Aggregatibacter actinomycetemcomitans ANH9381
gan  Gallibacterium anatis
xfa  Xylella fastidiosa 9a5c
xft  Xylella fastidiosa Temecula1
xfm  Xylella fastidiosa M12
xfn  Xylella fastidiosa M23
xcc  Xanthomonas campestris pv. campestris ATCC 33913
xcb  Xanthomonas campestris pv. campestris 8004
xca  Xanthomonas campestris pv. campestris B100
xcv  Xanthomonas campestris pv. vesicatoria
xac  Xanthomonas axonopodis pv. citri 306
xax  Xanthomonas axonopodis pv. citrumelo F1
xoo  Xanthomonas oryzae KACC10331
xom  Xanthomonas oryzae MAFF311018
xop  Xanthomonas oryzae PXO99A
xal  Xanthomonas albilineans
sml  Stenotrophomonas maltophilia K279a
smt  Stenotrophomonas maltophilia R551-3
buj  Stenotrophomonas maltophilia JV3
psu  Pseudoxanthomonas suwonensis
psd  Pseudoxanthomonas spadix
vch  Vibrio cholerae O1 biovar El Tor N16961
vce  Vibrio cholerae O1 2010EL-1786
vcj  Vibrio cholerae MJ-1236
vco  Vibrio cholerae O395
vcm  Vibrio cholerae M66-2
vci  Vibrio cholerae IEC224
vvu  Vibrio vulnificus CMCP6
vvy  Vibrio vulnificus YJ016
vvm  Vibrio vulnificus MO6-24/O
vpa  Vibrio parahaemolyticus
vha  Vibrio harveyi
vsp  Vibrio splendidus
vex  Vibrio sp. Ex25
vej  Vibrio sp. EJY3
vfu  Vibrio furnissii
vfi  Vibrio fischeri ES114
vfm  Vibrio fischeri MJ11
vsa  Aliivibrio salmonicida LFI1238
ppr  Photobacterium profundum
van  Vibrio anguillarum
pae  Pseudomonas aeruginosa PAO1
pau  Pseudomonas aeruginosa UCBPP-PA14
pap  Pseudomonas aeruginosa PA7
pag  Pseudomonas aeruginosa LESB58
ppu  Pseudomonas putida KT2440
ppf  Pseudomonas putida F1
ppg  Pseudomonas putida GB-1
ppw  Pseudomonas putida W619
ppt  Pseudomonas putida S16
pst  Pseudomonas syringae pv. tomato DC3000
psb  Pseudomonas syringae pv. syringae B728a
psp  Pseudomonas syringae pv. phaseolicola 1448A
pfl  Pseudomonas fluorescens Pf-5
pfo  Pseudomonas fluorescens Pf0-1
pfs  Pseudomonas fluorescens SBW25
pfe  Pseudomonas fluorescens F113
pen  Pseudomonas entomophila
pmy  Pseudomonas mendocina ymp
pmk  Pseudomonas mendocina NK-01
psa  Pseudomonas stutzeri A1501
psz  Pseudomonas stutzeri ATCC 17588
pba  Pseudomonas brassicacearum
pfv  Pseudomonas fulva
cja  Cellvibrio japonicus
avn  Azotobacter vinelandii
par  Psychrobacter arcticum
pcr  Psychrobacter cryohalolentis
prw  Psychrobacter sp. PRwf-1
aci  Acinetobacter sp. ADP1
